source,preview,mobile,duration_seconds,source_bytes,preview_bytes,mobile_bytes
public/uploads/videos/nuevos/Adds marketing.MP4,public/uploads/videos/nuevos/Adds marketing-preview.mp4,public/uploads/videos/nuevos/Adds marketing-mobile.mp4,31.968333,91540666,625849,5063225
public/uploads/videos/nuevos/Contenido Tik Tok.MP4,public/uploads/videos/nuevos/Contenido Tik Tok-preview.mp4,public/uploads/videos/nuevos/Contenido Tik Tok-mobile.mp4,83.466667,83960851,664929,5080289
public/uploads/videos/nuevos/Croma Key.MP4,public/uploads/videos/nuevos/Croma Key-preview.mp4,public/uploads/videos/nuevos/Croma Key-mobile.mp4,21.066667,30355336,597016,5074681
public/uploads/videos/nuevos/Croma key plano cerrado.MP4,public/uploads/videos/nuevos/Croma key plano cerrado-preview.mp4,public/uploads/videos/nuevos/Croma key plano cerrado-mobile.mp4,25.433333,40545944,647386,5215483
public/uploads/videos/nuevos/Croma key sobrepuesto.MP4,public/uploads/videos/nuevos/Croma key sobrepuesto-preview.mp4,public/uploads/videos/nuevos/Croma key sobrepuesto-mobile.mp4,19.046667,30377676,608852,5187522
public/uploads/videos/nuevos/DEEDCEA0-6288-4AB4-B5E5-39F8A50822E7.MOV,public/uploads/videos/nuevos/DEEDCEA0-6288-4AB4-B5E5-39F8A50822E7-preview.mp4,public/uploads/videos/nuevos/DEEDCEA0-6288-4AB4-B5E5-39F8A50822E7-mobile.mp4,42.677007,66115352,692029,4610056
public/uploads/videos/nuevos/Detrás de cámaras.MP4,public/uploads/videos/nuevos/Detrás de cámaras-preview.mp4,public/uploads/videos/nuevos/Detrás de cámaras-mobile.mp4,43.100000,76499606,717346,5147733
public/uploads/videos/nuevos/IMG_5793.MOV,public/uploads/videos/nuevos/IMG_5793-preview.mp4,public/uploads/videos/nuevos/IMG_5793-mobile.mp4,71.725011,108444332,677940,4703896
public/uploads/videos/nuevos/IMG_8435.MOV,public/uploads/videos/nuevos/IMG_8435-preview.mp4,public/uploads/videos/nuevos/IMG_8435-mobile.mp4,25.633991,33464015,687709,4727525
public/uploads/videos/nuevos/Reporte noticioso USA.MP4,public/uploads/videos/nuevos/Reporte noticioso USA-preview.mp4,public/uploads/videos/nuevos/Reporte noticioso USA-mobile.mp4,50.300000,95490226,691291,5203474
public/uploads/videos/nuevos/WhatsApp Video 2026-02-13 at 00.02.34.mp4,public/uploads/videos/nuevos/WhatsApp Video 2026-02-13 at 00.02.34-preview.mp4,public/uploads/videos/nuevos/WhatsApp Video 2026-02-13 at 00.02.34-mobile.mp4,67.709388,10534846,632904,5104224
public/uploads/videos/nuevos/WhatsApp Video 2026-02-13 at 00.39.53.mp4,public/uploads/videos/nuevos/WhatsApp Video 2026-02-13 at 00.39.53-preview.mp4,public/uploads/videos/nuevos/WhatsApp Video 2026-02-13 at 00.39.53-mobile.mp4,43.839274,7890764,699505,4764901
public/uploads/videos/nuevos/WhatsApp Video 2026-02-13 at 00.42.58.mp4,public/uploads/videos/nuevos/WhatsApp Video 2026-02-13 at 00.42.58-preview.mp4,public/uploads/videos/nuevos/WhatsApp Video 2026-02-13 at 00.42.58-mobile.mp4,16.184308,2832736,666501,5108704
public/uploads/videos/nuevos/WhatsApp Video 2026-02-19 at 14.08.01.mp4,public/uploads/videos/nuevos/WhatsApp Video 2026-02-19 at 14.08.01-preview.mp4,public/uploads/videos/nuevos/WhatsApp Video 2026-02-19 at 14.08.01-mobile.mp4,32.368617,12199926,655432,5045744
public/uploads/videos/nuevos/WhatsApp Video 2026-02-19 at 14.09.00.mp4,public/uploads/videos/nuevos/WhatsApp Video 2026-02-19 at 14.09.00-preview.mp4,public/uploads/videos/nuevos/WhatsApp Video 2026-02-19 at 14.09.00-mobile.mp4,22.894875,8597546,632456,5067961
public/uploads/videos/nuevos/WhatsApp Video 2026-02-19 at 16.05.21.mp4,public/uploads/videos/nuevos/WhatsApp Video 2026-02-19 at 16.05.21-preview.mp4,public/uploads/videos/nuevos/WhatsApp Video 2026-02-19 at 16.05.21-mobile.mp4,16.561667,6238438,660817,5019090
