source,preview,mobile,duration_seconds,source_bytes,preview_bytes,mobile_bytes
public/uploads/videos/nuevos/Adds marketing.MP4,tmp/video-encodes-nuevos/Adds marketing-preview.mp4,tmp/video-encodes-nuevos/Adds marketing-mobile.mp4,31.968333,91540666,621875,5060928
public/uploads/videos/nuevos/Contenido Tik Tok.MP4,tmp/video-encodes-nuevos/Contenido Tik Tok-preview.mp4,tmp/video-encodes-nuevos/Contenido Tik Tok-mobile.mp4,83.466667,83960851,664949,5079951
public/uploads/videos/nuevos/Croma Key.MP4,tmp/video-encodes-nuevos/Croma Key-preview.mp4,tmp/video-encodes-nuevos/Croma Key-mobile.mp4,21.066667,30355336,597818,5069733
public/uploads/videos/nuevos/Croma key plano cerrado.MP4,tmp/video-encodes-nuevos/Croma key plano cerrado-preview.mp4,tmp/video-encodes-nuevos/Croma key plano cerrado-mobile.mp4,25.433333,40545944,648069,5217940
public/uploads/videos/nuevos/Croma key sobrepuesto.MP4,tmp/video-encodes-nuevos/Croma key sobrepuesto-preview.mp4,tmp/video-encodes-nuevos/Croma key sobrepuesto-mobile.mp4,19.046667,30377676,610037,5185925
public/uploads/videos/nuevos/DEEDCEA0-6288-4AB4-B5E5-39F8A50822E7.MOV,tmp/video-encodes-nuevos/DEEDCEA0-6288-4AB4-B5E5-39F8A50822E7-preview.mp4,tmp/video-encodes-nuevos/DEEDCEA0-6288-4AB4-B5E5-39F8A50822E7-mobile.mp4,42.677007,66115352,694726,4605166
public/uploads/videos/nuevos/Detrás de cámaras.MP4,tmp/video-encodes-nuevos/Detrás de cámaras-preview.mp4,tmp/video-encodes-nuevos/Detrás de cámaras-mobile.mp4,43.100000,76499606,713318,5146685
public/uploads/videos/nuevos/IMG_5793.MOV,tmp/video-encodes-nuevos/IMG_5793-preview.mp4,tmp/video-encodes-nuevos/IMG_5793-mobile.mp4,71.725011,108444332,678773,4703384
public/uploads/videos/nuevos/IMG_8435.MOV,tmp/video-encodes-nuevos/IMG_8435-preview.mp4,tmp/video-encodes-nuevos/IMG_8435-mobile.mp4,25.633991,33464015,686113,4725586
public/uploads/videos/nuevos/Reporte noticioso USA.MP4,tmp/video-encodes-nuevos/Reporte noticioso USA-preview.mp4,tmp/video-encodes-nuevos/Reporte noticioso USA-mobile.mp4,50.300000,95490226,688026,5203721
public/uploads/videos/nuevos/WhatsApp Video 2026-02-13 at 00.02.34.mp4,tmp/video-encodes-nuevos/WhatsApp Video 2026-02-13 at 00.02.34-preview.mp4,tmp/video-encodes-nuevos/WhatsApp Video 2026-02-13 at 00.02.34-mobile.mp4,67.709388,10534846,635099,5104549
public/uploads/videos/nuevos/WhatsApp Video 2026-02-13 at 00.39.53.mp4,tmp/video-encodes-nuevos/WhatsApp Video 2026-02-13 at 00.39.53-preview.mp4,tmp/video-encodes-nuevos/WhatsApp Video 2026-02-13 at 00.39.53-mobile.mp4,43.839274,7890764,700981,4764853
public/uploads/videos/nuevos/WhatsApp Video 2026-02-13 at 00.42.58.mp4,tmp/video-encodes-nuevos/WhatsApp Video 2026-02-13 at 00.42.58-preview.mp4,tmp/video-encodes-nuevos/WhatsApp Video 2026-02-13 at 00.42.58-mobile.mp4,16.184308,2832736,668166,5110824
public/uploads/videos/nuevos/WhatsApp Video 2026-02-19 at 14.08.01.mp4,tmp/video-encodes-nuevos/WhatsApp Video 2026-02-19 at 14.08.01-preview.mp4,tmp/video-encodes-nuevos/WhatsApp Video 2026-02-19 at 14.08.01-mobile.mp4,32.368617,12199926,654911,5046624
public/uploads/videos/nuevos/WhatsApp Video 2026-02-19 at 14.09.00.mp4,tmp/video-encodes-nuevos/WhatsApp Video 2026-02-19 at 14.09.00-preview.mp4,tmp/video-encodes-nuevos/WhatsApp Video 2026-02-19 at 14.09.00-mobile.mp4,22.894875,8597546,633166,5067369
public/uploads/videos/nuevos/WhatsApp Video 2026-02-19 at 16.05.21.mp4,tmp/video-encodes-nuevos/WhatsApp Video 2026-02-19 at 16.05.21-preview.mp4,tmp/video-encodes-nuevos/WhatsApp Video 2026-02-19 at 16.05.21-mobile.mp4,16.561667,6238438,662336,5018233
