file,language,language_probability,duration,segments,chars,transcript_file,note
Adds marketing.MP4,es,1.0000,31.97,5,435,tmp/video-transcripts-nuevos/Adds marketing.txt,
Contenido Tik Tok.MP4,es,1.0000,83.47,16,1359,tmp/video-transcripts-nuevos/Contenido Tik Tok.txt,
Croma Key.MP4,es,1.0000,21.07,4,341,tmp/video-transcripts-nuevos/Croma Key.txt,
Croma key plano cerrado.MP4,es,1.0000,25.43,7,420,tmp/video-transcripts-nuevos/Croma key plano cerrado.txt,
Croma key sobrepuesto.MP4,es,1.0000,19.05,4,318,tmp/video-transcripts-nuevos/Croma key sobrepuesto.txt,
DEEDCEA0-6288-4AB4-B5E5-39F8A50822E7.MOV,es,1.0000,42.68,7,551,tmp/video-transcripts-nuevos/DEEDCEA0-6288-4AB4-B5E5-39F8A50822E7.txt,
Detrás de cámaras.MP4,es,1.0000,43.10,7,565,tmp/video-transcripts-nuevos/Detrás de cámaras.txt,
IMG_5793.MOV,es,1.0000,71.73,12,852,tmp/video-transcripts-nuevos/IMG_5793.txt,
IMG_8435.MOV,es,1.0000,25.63,5,332,tmp/video-transcripts-nuevos/IMG_8435.txt,
Reporte noticioso USA.MP4,es,1.0000,50.30,9,709,tmp/video-transcripts-nuevos/Reporte noticioso USA.txt,
WhatsApp Video 2026-02-13 at 00.02.34.mp4,es,1.0000,67.71,19,927,tmp/video-transcripts-nuevos/WhatsApp Video 2026-02-13 at 00.02.34.txt,
WhatsApp Video 2026-02-13 at 00.39.53.mp4,es,1.0000,43.84,10,661,tmp/video-transcripts-nuevos/WhatsApp Video 2026-02-13 at 00.39.53.txt,
WhatsApp Video 2026-02-13 at 00.42.58.mp4,es,1.0000,16.18,3,239,tmp/video-transcripts-nuevos/WhatsApp Video 2026-02-13 at 00.42.58.txt,
WhatsApp Video 2026-02-19 at 14.08.01.mp4,es,1.0000,32.37,6,394,tmp/video-transcripts-nuevos/WhatsApp Video 2026-02-19 at 14.08.01.txt,
WhatsApp Video 2026-02-19 at 14.09.00.mp4,es,1.0000,22.89,6,378,tmp/video-transcripts-nuevos/WhatsApp Video 2026-02-19 at 14.09.00.txt,
WhatsApp Video 2026-02-19 at 16.05.21.mp4,es,1.0000,16.56,3,248,tmp/video-transcripts-nuevos/WhatsApp Video 2026-02-19 at 16.05.21.txt,
